id_bgl,basin_level,start_year,t_score,p_t,u_score,p_u,baseline_median,delta
1174_834,4,2000,0.9008921741920536,0.39660465194909383,65.5,0.3077139478434141,311.871755831315,4.184927166677654
1174_834,4,2005,0.5196358315844302,0.6254072168920495,58.5,0.5864302419067187,311.871755831315,40.36176877870671
1174_834,4,2010,-1.2744223913077737,0.24174630724734228,32.5,0.24766697136682303,311.871755831315,-26.171528788453855
1174_834,4,2015,-0.4754423914820831,0.6471991872736296,43.5,0.6832646883573559,311.871755831315,-1.1011498996518538
1174_834,4,2017,1.133614293042473,0.2950451670782686,64.5,0.3412684763150512,311.871755831315,1.1011498996518538
1175_834,4,2000,,,50.0,1.0,0.0,0.0
1175_834,4,2005,,,50.0,1.0,0.0,0.0
1175_834,4,2010,,,50.0,1.0,0.0,0.0
1175_834,4,2015,,,50.0,1.0,0.0,0.0
1175_834,4,2017,,,50.0,1.0,0.0,0.0
1176_454,4,2000,,,50.0,1.0,0.0,0.0
1176_454,4,2005,,,50.0,1.0,0.0,0.0
1176_454,4,2010,,,50.0,1.0,0.0,0.0
1176_454,4,2015,,,50.0,1.0,0.0,0.0
1176_454,4,2017,,,50.0,1.0,0.0,0.0
1176_508,4,2000,,,50.0,1.0,0.0,0.0
1176_508,4,2005,,,50.0,1.0,0.0,0.0
1176_508,4,2010,,,50.0,1.0,0.0,0.0
1176_508,4,2015,,,50.0,1.0,0.0,0.0
1176_508,4,2017,,,50.0,1.0,0.0,0.0
1176_834,4,2000,,,50.0,1.0,0.0,0.0
1176_834,4,2005,,,50.0,1.0,0.0,0.0
1176_834,4,2010,,,50.0,1.0,0.0,0.0
1176_834,4,2015,,,50.0,1.0,0.0,0.0
1176_834,4,2017,,,50.0,1.0,0.0,0.0
1177_508,4,2000,1.66652436816617,0.1236353961600735,69.5,0.19634372137988876,2.57044667855371,3.718741550489144
1177_508,4,2005,1.076732754603415,0.3028260911625571,61.5,0.4544466217384099,2.57044667855371,3.7187480812698994
1177_508,4,2010,1.3069202440544172,0.20955256396339764,56.5,0.6832646883573559,2.57044667855371,1.477276824427388
1177_508,4,2015,-2.5317948649627477,0.04455820556861001,12.5,0.011866976415705938,2.57044667855371,-14.212894700236674
1177_508,4,2017,-3.8721100097648486,0.00992019066679198,5.5,0.002781224934389138,2.57044667855371,-24.299311940546247
1178_508,4,2000,,,50.0,1.0,0.0,0.0
1178_508,4,2005,,,50.0,1.0,0.0,0.0
1178_508,4,2010,,,50.0,1.0,0.0,0.0
1178_508,4,2015,,,50.0,1.0,0.0,0.0
1178_508,4,2017,,,50.0,1.0,0.0,0.0
1179_508,4,2000,-0.2631633774240753,0.7964146091526567,55.5,0.7338488462374848,0.312406121811364,14.404118763290763
1179_508,4,2005,-2.8781752251678365,0.009535389901899265,26.5,0.11780654950831168,0.312406121811364,-57.33915162320889
1179_508,4,2010,-1.5410006937351188,0.15319469276328737,30.5,0.19634372137988876,0.312406121811364,-15.512146140553698
1179_508,4,2015,4.056188931527127,0.0020970401982259466,87.5,0.011866976415705938,0.312406121811364,137.94717575049407
1179_508,4,2017,4.501000513781114,0.0015242782802675026,93.5,0.003467193190765815,0.312406121811364,146.5343630140289
1210_508,4,2000,,,50.0,1.0,0.0,0.0
1210_508,4,2005,,,50.0,1.0,0.0,0.0
1210_508,4,2010,,,50.0,1.0,0.0,0.0
1210_508,4,2015,,,50.0,1.0,0.0,0.0
1210_508,4,2017,,,50.0,1.0,0.0,0.0
1221_508,4,2000,,,50.0,1.0,0.0,0.0
1221_508,4,2005,,,50.0,1.0,0.0,0.0
1221_508,4,2010,,,50.0,1.0,0.0,0.0
1221_508,4,2015,,,50.0,1.0,0.0,0.0
1221_508,4,2017,,,50.0,1.0,0.0,0.0
1222_454,4,2000,,,50.0,1.0,0.0,0.0
1222_454,4,2005,,,50.0,1.0,0.0,0.0
1222_454,4,2010,,,50.0,1.0,0.0,0.0
1222_454,4,2015,,,50.0,1.0,0.0,0.0
1222_454,4,2017,,,50.0,1.0,0.0,0.0
1222_508,4,2000,,,50.0,1.0,0.0,0.0
1222_508,4,2005,,,50.0,1.0,0.0,0.0
1222_508,4,2010,,,50.0,1.0,0.0,0.0
1222_508,4,2015,,,50.0,1.0,0.0,0.0
1222_508,4,2017,,,50.0,1.0,0.0,0.0
1222_834,4,2000,,,50.0,1.0,0.0,0.0
1222_834,4,2005,,,50.0,1.0,0.0,0.0
1222_834,4,2010,,,50.0,1.0,0.0,0.0
1222_834,4,2015,,,50.0,1.0,0.0,0.0
1222_834,4,2017,,,50.0,1.0,0.0,0.0
1222_894,4,2000,,,50.0,1.0,0.0,0.0
1222_894,4,2005,,,50.0,1.0,0.0,0.0
